value,categ
13.7,Thyroid
13.66,Thyroid
19.31,Thyroid
18.24,Thyroid
11.01,Thyroid
10.65,Thyroid
17.81,Thyroid
11.64,Thyroid
14.74,Thyroid
13.22,Thyroid
21.28,Thyroid
20.26,Thyroid
7.275,Thyroid
9.14,Thyroid
18.75,Thyroid
12.38,Thyroid
13.61,Thyroid
12.73,Thyroid
11.14,Thyroid
11.59,Thyroid
18.91,Thyroid
10.19,Thyroid
19.57,Thyroid
14.35,Thyroid
16.62,Thyroid
8.28,Thyroid
8.551,Thyroid
17.2,Thyroid
19.66,Thyroid
12.2,Thyroid
16.36,Thyroid
10.7,Thyroid
12.84,Thyroid
14.46,Thyroid
21.29,Thyroid
15.87,Thyroid
11.92,Thyroid
19.74,Thyroid
13.25,Thyroid
11.44,Thyroid
10.47,Thyroid
10.56,Thyroid
13.88,Thyroid
13.37,Thyroid
16.15,Thyroid
9.27,Thyroid
15.19,Thyroid
9.948,Thyroid
7.837,Thyroid
11.76,Thyroid
13.48,Thyroid
22.36,Thyroid
11.83,Thyroid
7.468,Thyroid
20.79,Thyroid
12.34,Thyroid
5.498,Thyroid
8.04,Thyroid
10.0,Thyroid
23.71,Thyroid
11.72,Thyroid
15.12,Thyroid
6.967,Thyroid
23.55,Thyroid
10.51,Thyroid
12.9,Thyroid
10.09,Thyroid
8.786,Thyroid
15.8,Thyroid
15.55,Thyroid
14.57,Thyroid
15.18,Thyroid
16.71,Thyroid
6.025,Thyroid
13.79,Thyroid
11.3,Thyroid
9.219,Thyroid
15.43,Thyroid
12.57,Thyroid
8.377,Thyroid
9.419,Thyroid
17.93,Thyroid
10.66,Thyroid
9.436,Thyroid
10.17,Thyroid
18.06,Thyroid
19.1,Thyroid
13.65,Thyroid
11.13,Thyroid
15.64,Thyroid
8.728,Thyroid
17.04,Thyroid
10.82,Thyroid
9.665,Thyroid
15.07,Thyroid
24.6,Thyroid
8.22,Thyroid
11.31,Thyroid
13.31,Thyroid
12.84,Thyroid
12.51,Thyroid
24.48,Thyroid
12.32,Thyroid
21.47,Thyroid
19.93,Thyroid
20.93,Thyroid
15.87,Thyroid
16.56,Thyroid
16.09,Thyroid
12.99,Thyroid
10.02,Thyroid
8.547,Thyroid
13.73,Thyroid
10.67,Thyroid
14.98,Thyroid
4.94,Thyroid
8.836,Thyroid
11.87,Thyroid
14.12,Thyroid
11.21,Thyroid
21.62,Thyroid
20.49,Thyroid
15.51,Thyroid
17.56,Thyroid
17.41,Thyroid
8.365,Thyroid
9.809,Thyroid
25.77,Thyroid
12.52,Thyroid
14.56,Thyroid
7.375,Thyroid
12.89,Thyroid
9.287,Thyroid
15.35,Thyroid
9.866,Thyroid
12.51,Thyroid
11.41,Thyroid
19.48,Thyroid
15.21,Thyroid
9.009,Thyroid
12.15,Thyroid
19.74,Thyroid
11.36,Thyroid
10.83,Thyroid
22.4,Thyroid
10.27,Thyroid
13.85,Thyroid
14.61,Thyroid
15.46,Thyroid
17.36,Thyroid
11.72,Thyroid
22.85,Thyroid
11.97,Thyroid
20.46,Thyroid
16.06,Thyroid
14.88,Thyroid
19.66,Thyroid
17.73,Thyroid
9.252,Thyroid
16.3,Thyroid
6.786,Thyroid
7.059,Thyroid
20.46,Thyroid
18.79,Thyroid
10.44,Thyroid
11.33,Thyroid
24.57,Thyroid
15.3,Thyroid
8.102,Thyroid
15.24,Thyroid
12.52,Thyroid
8.331,Thyroid
11.36,Thyroid
9.0,Thyroid
10.34,Thyroid
16.95,Thyroid
12.32,Thyroid
9.485,Thyroid
12.36,Thyroid
9.754,Thyroid
5.304,Thyroid
8.296,Thyroid
11.26,Thyroid
10.92,Thyroid
9.782,Thyroid
13.49,Thyroid
14.82,Thyroid
14.55,Thyroid
13.19,Thyroid
48.14,Thyroid
13.0,Thyroid
12.58,Thyroid
32.73,Thyroid
24.04,Thyroid
14.34,Thyroid
12.87,Thyroid
15.5,Thyroid
14.27,Thyroid
20.83,Thyroid
8.023,Thyroid
13.52,Thyroid
14.7,Thyroid
13.07,Thyroid
16.65,Thyroid
10.95,Thyroid
14.39,Thyroid
10.22,Thyroid
17.34,Thyroid
23.88,Thyroid
15.55,Thyroid
13.91,Thyroid
10.53,Thyroid
11.33,Thyroid
12.1,Thyroid
13.4,Thyroid
10.86,Thyroid
12.74,Thyroid
8.986,Thyroid
12.51,Thyroid
14.53,Thyroid
10.76,Thyroid
18.44,Thyroid
15.9,Thyroid
19.81,Thyroid
11.56,Thyroid
32.71,Thyroid
7.898,Thyroid
25.01,Thyroid
13.1,Thyroid
19.8,Thyroid
19.09,Thyroid
10.11,Thyroid
8.332,Thyroid
12.01,Thyroid
14.18,Thyroid
7.529,Thyroid
18.41,Thyroid
12.41,Thyroid
10.17,Thyroid
10.78,Thyroid
14.17,Thyroid
14.29,Thyroid
18.65,Thyroid
14.39,Thyroid
12.79,Thyroid
9.48,Thyroid
13.08,Thyroid
8.653,Thyroid
13.96,Thyroid
8.279,Thyroid
22.73,Thyroid
13.68,Thyroid
23.38,Thyroid
9.517,Thyroid
9.619,Thyroid
8.998,Thyroid
9.912,Thyroid
14.01,Thyroid
11.53,Thyroid
19.48,Thyroid
18.43,Thyroid
20.17,Thyroid
9.777,Thyroid
12.81,Thyroid
14.81,Thyroid
14.52,Thyroid
17.85,Thyroid
9.049,Thyroid
23.89,Thyroid
17.72,Thyroid
37.05,Thyroid
12.6,Thyroid
11.71,Thyroid
14.68,Thyroid
13.95,Thyroid
8.896,Thyroid
9.47,Thyroid
10.23,Thyroid
15.46,Thyroid
32.71,Thyroid
15.8,Thyroid
7.91,Thyroid
12.08,Thyroid
15.43,Thyroid
12.27,Thyroid
11.71,Thyroid
15.74,Thyroid
16.7,Thyroid
10.22,Thyroid
12.45,Thyroid
15.59,Thyroid
11.51,Thyroid
18.53,Thyroid
14.93,Thyroid
13.37,Thyroid
11.65,Thyroid
7.111,Thyroid
14.46,Thyroid
20.47,Thyroid
8.887,Thyroid
21.36,Thyroid
10.11,Thyroid
11.43,Thyroid
12.05,Thyroid
10.09,Thyroid
14.28,Thyroid
16.4,Thyroid
17.97,Thyroid
13.76,Thyroid
29.92,Thyroid
9.652,Thyroid
15.48,Thyroid
9.351,Thyroid
13.65,Thyroid
10.56,Thyroid
9.621,Thyroid
13.42,Thyroid
11.64,Thyroid
15.68,Thyroid
12.56,Thyroid
9.275,Thyroid
10.84,Thyroid
11.71,Thyroid
20.5,Thyroid
10.15,Thyroid
10.95,Thyroid
18.58,Thyroid
16.16,Thyroid
13.35,Thyroid
19.95,Thyroid
11.65,Thyroid
14.75,Thyroid
15.95,Thyroid
15.65,Thyroid
10.72,Thyroid
8.748,Thyroid
17.26,Thyroid
8.937,Thyroid
25.69,Thyroid
11.27,Thyroid
11.04,Thyroid
12.13,Thyroid
12.86,Thyroid
11.74,Thyroid
18.64,Thyroid
13.73,Thyroid
11.09,Thyroid
19.07,Thyroid
13.49,Thyroid
23.28,Thyroid
12.81,Thyroid
20.02,Thyroid
18.43,Thyroid
16.78,Thyroid
15.99,Thyroid
8.744,Thyroid
8.142,Thyroid
14.88,Thyroid
10.64,Thyroid
19.45,Thyroid
14.67,Thyroid
14.19,Thyroid
27.52,Thyroid
12.07,Thyroid
12.71,Thyroid
20.42,Thyroid
14.48,Thyroid
13.33,Thyroid
12.3,Thyroid
11.86,Thyroid
11.49,Thyroid
11.21,Thyroid
9.919,Thyroid
10.01,Thyroid
17.55,Thyroid
21.99,Thyroid
14.6,Thyroid
14.4,Thyroid
13.43,Thyroid
8.872,Thyroid
13.57,Thyroid
14.73,Thyroid
13.71,Thyroid
12.55,Thyroid
15.84,Thyroid
11.53,Thyroid
18.54,Thyroid
22.17,Thyroid
5.791,Thyroid
12.61,Thyroid
20.81,Thyroid
8.148,Thyroid
15.11,Thyroid
12.7,Thyroid
11.73,Thyroid
12.11,Thyroid
10.85,Thyroid
10.47,Thyroid
21.4,Thyroid
12.63,Thyroid
7.729,Thyroid
13.22,Thyroid
11.51,Thyroid
9.864,Thyroid
11.88,Thyroid
11.24,Thyroid
9.82,Thyroid
12.19,Thyroid
13.03,Thyroid
18.9,Thyroid
21.91,Thyroid
13.01,Thyroid
23.83,Thyroid
19.32,Thyroid
9.712,Thyroid
18.5,Thyroid
27.52,Thyroid
26.93,Thyroid
16.65,Thyroid
19.29,Thyroid
13.02,Thyroid
17.75,Thyroid
11.89,Thyroid
13.9,Thyroid
16.1,Thyroid
14.71,Thyroid
22.1,Thyroid
8.557,Thyroid
15.26,Thyroid
8.031,Thyroid
15.36,Thyroid
17.14,Thyroid
11.71,Thyroid
12.21,Thyroid
10.63,Thyroid
12.13,Thyroid
20.56,Thyroid
18.71,Thyroid
7.644,Thyroid
9.944,Thyroid
9.119,Thyroid
9.678,Thyroid
12.74,Thyroid
13.05,Thyroid
26.13,Thyroid
10.05,Thyroid
10.03,Thyroid
30.82,Thyroid
25.81,Thyroid
10.49,Thyroid
13.0,Thyroid
10.22,Thyroid
3.439,Testis
2.421,Testis
1.785,Testis
2.425,Testis
3.049,Testis
1.801,Testis
4.948,Testis
5.604,Testis
2.905,Testis
2.654,Testis
3.746,Testis
2.018,Testis
3.243,Testis
3.0,Testis
2.789,Testis
2.087,Testis
1.947,Testis
3.732,Testis
2.578,Testis
2.338,Testis
4.569,Testis
2.387,Testis
6.639,Testis
3.126,Testis
2.273,Testis
5.558,Testis
1.386,Testis
2.537,Testis
2.417,Testis
3.936,Testis
2.067,Testis
4.275,Testis
2.698,Testis
2.693,Testis
7.261,Testis
3.002,Testis
3.368,Testis
1.702,Testis
5.432,Testis
4.082,Testis
3.987,Testis
8.056,Testis
5.096,Testis
6.66,Testis
2.318,Testis
3.221,Testis
2.757,Testis
1.769,Testis
2.362,Testis
3.401,Testis
2.554,Testis
4.013,Testis
3.323,Testis
3.636,Testis
2.733,Testis
3.773,Testis
3.454,Testis
3.471,Testis
4.635,Testis
4.286,Testis
1.449,Testis
3.31,Testis
4.127,Testis
5.63,Testis
4.07,Testis
2.632,Testis
3.339,Testis
4.123,Testis
4.016,Testis
6.338,Testis
4.71,Testis
2.34,Testis
2.732,Testis
2.231,Testis
4.29,Testis
6.498,Testis
2.97,Testis
4.114,Testis
4.972,Testis
2.503,Testis
3.633,Testis
3.133,Testis
7.119,Testis
3.133,Testis
3.638,Testis
3.151,Testis
4.244,Testis
5.092,Testis
3.455,Testis
2.536,Testis
3.503,Testis
2.739,Testis
5.072,Testis
3.127,Testis
4.09,Testis
2.765,Testis
2.817,Testis
4.385,Testis
3.111,Testis
3.775,Testis
2.928,Testis
2.753,Testis
2.777,Testis
2.661,Testis
2.862,Testis
1.95,Testis
3.454,Testis
3.395,Testis
6.245,Testis
3.057,Testis
2.014,Testis
2.226,Testis
2.72,Testis
2.837,Testis
2.691,Testis
2.855,Testis
2.369,Testis
4.191,Testis
8.791,Testis
2.433,Testis
2.798,Testis
3.076,Testis
2.928,Testis
2.967,Testis
5.577,Testis
6.581,Testis
3.466,Testis
2.611,Testis
4.741,Testis
5.991,Testis
3.09,Testis
5.155,Testis
3.21,Testis
3.373,Testis
3.398,Testis
3.728,Testis
2.521,Testis
1.534,Testis
2.913,Testis
2.579,Testis
9.891,Testis
4.252,Testis
2.895,Testis
2.754,Testis
2.851,Testis
1.949,Testis
6.321,Testis
2.478,Testis
2.099,Testis
2.867,Testis
3.913,Testis
3.084,Testis
4.311,Testis
3.998,Testis
2.502,Testis
2.518,Testis
4.061,Testis
5.863,Testis
3.717,Testis
4.495,Testis
2.115,Testis
2.41,Testis
3.493,Testis
4.668,Testis
2.168,Testis
2.276,Testis
2.383,Testis
2.547,Testis
6.379,Testis
3.06,Testis
3.194,Testis
1.949,Testis
7.088,Testis
2.758,Testis
2.145,Testis
1.936,Testis
2.78,Testis
3.756,Testis
3.559,Testis
2.992,Testis
3.486,Testis
2.861,Testis
3.465,Testis
4.312,Testis
1.404,Testis
2.889,Testis
3.355,Testis
3.77,Testis
1.874,Testis
2.43,Testis
3.318,Testis
2.063,Testis
2.279,Testis
2.872,Testis
5.714,Testis
3.955,Testis
3.874,Testis
3.736,Testis
5.52,Testis
3.38,Testis
2.562,Testis
2.928,Testis
4.564,Testis
2.054,Testis
4.591,Testis
7.742,Testis
2.931,Testis
2.296,Testis
2.748,Testis
3.638,Testis
2.474,Testis
6.255,Testis
3.051,Testis
2.576,Testis
2.896,Testis
2.492,Testis
3.638,Testis
2.914,Testis
1.909,Testis
4.389,Testis
2.678,Testis
1.601,Testis
2.519,Testis
3.572,Testis
3.159,Testis
2.09,Testis
2.039,Testis
2.135,Testis
1.663,Testis
1.74,Testis
2.814,Testis
3.031,Testis
28.14,Testis
2.493,Testis
5.236,Testis
2.411,Testis
2.734,Testis
3.451,Testis
1.6,Testis
5.645,Testis
2.261,Testis
3.244,Testis
2.411,Testis
2.553,Testis
2.521,Testis
2.085,Testis
5.498,Testis
2.228,Testis
4.334,Testis
5.176,Testis
3.27,Testis
2.442,Testis
1.848,Testis
4.107,Testis
3.476,Testis
3.559,Testis
3.997,Testis
3.131,Testis
4.527,Testis
4.297,Testis
6.291,Testis
2.045,Testis
3.164,Testis
5.097,Testis
3.529,Testis
2.418,Testis
5.089,Testis
4.747,Testis
3.157,Testis
3.159,Testis
2.537,Testis
4.271,Testis
2.796,Testis
3.043,Testis
2.396,Testis
3.702,Testis
3.101,Testis
2.641,Testis
5.381,Testis
2.064,Testis
2.967,Testis
4.302,Testis
4.042,Testis
3.739,Testis
8.469,Testis
2.59,Testis
3.816,Testis
3.394,Testis
3.501,Testis
3.682,Testis
4.125,Testis
5.473,Testis
2.876,Testis
3.592,Testis
3.905,Testis
3.11,Testis
2.972,Testis
3.432,Testis
4.651,Testis
4.947,Testis
5.895,Testis
2.806,Testis
3.234,Testis
3.988,Testis
4.904,Testis
4.718,Testis
4.32,Testis
3.155,Testis
2.83,Testis
3.732,Testis
2.145,Testis
2.386,Testis
2.748,Testis
3.431,Testis
6.549,Testis
2.321,Testis
1.747,Testis
2.612,Testis
3.393,Testis
2.161,Testis
2.682,Testis
3.922,Testis
5.053,Testis
3.403,Testis
7.324,Testis
4.013,Testis
3.165,Testis
3.336,Testis
3.957,Testis
2.256,Testis
1.972,Testis
11.89,Testis
2.837,Testis
4.694,Testis
3.348,Testis
5.224,Testis
1.9,Testis
2.624,Testis
4.267,Testis
3.286,Testis
3.904,Testis
2.535,Testis
3.376,Testis
4.326,Testis
2.944,Testis
4.16,Testis
3.13,Testis
7.166,Testis
3.028,Testis
2.372,Testis
3.335,Testis
3.648,Testis
2.136,Testis
4.039,Testis
2.771,Testis
4.65,Testis
2.494,Testis
3.091,Testis
3.052,Testis
2.379,Testis
2.521,Testis
15.69,Small_Intestine_Terminal_Ileum
3.42,Small_Intestine_Terminal_Ileum
5.255,Small_Intestine_Terminal_Ileum
9.133,Small_Intestine_Terminal_Ileum
32.16,Small_Intestine_Terminal_Ileum
6.301,Small_Intestine_Terminal_Ileum
6.526,Small_Intestine_Terminal_Ileum
6.255,Small_Intestine_Terminal_Ileum
4.963,Small_Intestine_Terminal_Ileum
9.388,Small_Intestine_Terminal_Ileum
9.951,Small_Intestine_Terminal_Ileum
8.646,Small_Intestine_Terminal_Ileum
8.296,Small_Intestine_Terminal_Ileum
15.33,Small_Intestine_Terminal_Ileum
5.281,Small_Intestine_Terminal_Ileum
8.696,Small_Intestine_Terminal_Ileum
7.196,Small_Intestine_Terminal_Ileum
7.701,Small_Intestine_Terminal_Ileum
9.557,Small_Intestine_Terminal_Ileum
7.346,Small_Intestine_Terminal_Ileum
9.547,Small_Intestine_Terminal_Ileum
6.772,Small_Intestine_Terminal_Ileum
17.32,Small_Intestine_Terminal_Ileum
9.529,Small_Intestine_Terminal_Ileum
6.801,Small_Intestine_Terminal_Ileum
5.292,Small_Intestine_Terminal_Ileum
9.318,Small_Intestine_Terminal_Ileum
10.81,Small_Intestine_Terminal_Ileum
8.902,Small_Intestine_Terminal_Ileum
11.66,Small_Intestine_Terminal_Ileum
8.696,Small_Intestine_Terminal_Ileum
8.428,Small_Intestine_Terminal_Ileum
17.6,Small_Intestine_Terminal_Ileum
11.84,Small_Intestine_Terminal_Ileum
9.255,Small_Intestine_Terminal_Ileum
9.831,Small_Intestine_Terminal_Ileum
8.593,Small_Intestine_Terminal_Ileum
10.57,Small_Intestine_Terminal_Ileum
10.1,Small_Intestine_Terminal_Ileum
18.58,Small_Intestine_Terminal_Ileum
4.793,Small_Intestine_Terminal_Ileum
16.32,Small_Intestine_Terminal_Ileum
9.787,Small_Intestine_Terminal_Ileum
11.89,Small_Intestine_Terminal_Ileum
11.97,Small_Intestine_Terminal_Ileum
16.38,Small_Intestine_Terminal_Ileum
16.11,Small_Intestine_Terminal_Ileum
14.17,Small_Intestine_Terminal_Ileum
21.78,Small_Intestine_Terminal_Ileum
6.714,Small_Intestine_Terminal_Ileum
8.932,Small_Intestine_Terminal_Ileum
7.809,Small_Intestine_Terminal_Ileum
7.492,Small_Intestine_Terminal_Ileum
6.207,Small_Intestine_Terminal_Ileum
7.884,Small_Intestine_Terminal_Ileum
8.68,Small_Intestine_Terminal_Ileum
13.02,Small_Intestine_Terminal_Ileum
5.133,Small_Intestine_Terminal_Ileum
13.11,Small_Intestine_Terminal_Ileum
12.11,Small_Intestine_Terminal_Ileum
11.09,Small_Intestine_Terminal_Ileum
12.85,Small_Intestine_Terminal_Ileum
12.69,Small_Intestine_Terminal_Ileum
8.339,Small_Intestine_Terminal_Ileum
9.573,Small_Intestine_Terminal_Ileum
15.71,Small_Intestine_Terminal_Ileum
10.43,Small_Intestine_Terminal_Ileum
12.53,Small_Intestine_Terminal_Ileum
10.64,Small_Intestine_Terminal_Ileum
12.07,Small_Intestine_Terminal_Ileum
10.77,Small_Intestine_Terminal_Ileum
12.57,Small_Intestine_Terminal_Ileum
8.913,Small_Intestine_Terminal_Ileum
18.61,Small_Intestine_Terminal_Ileum
6.161,Small_Intestine_Terminal_Ileum
8.722,Small_Intestine_Terminal_Ileum
11.95,Small_Intestine_Terminal_Ileum
10.8,Small_Intestine_Terminal_Ileum
13.29,Small_Intestine_Terminal_Ileum
10.8,Small_Intestine_Terminal_Ileum
33.47,Small_Intestine_Terminal_Ileum
9.618,Small_Intestine_Terminal_Ileum
13.94,Small_Intestine_Terminal_Ileum
14.41,Small_Intestine_Terminal_Ileum
9.108,Small_Intestine_Terminal_Ileum
4.967,Small_Intestine_Terminal_Ileum
10.07,Small_Intestine_Terminal_Ileum
12.03,Small_Intestine_Terminal_Ileum
15.17,Small_Intestine_Terminal_Ileum
9.762,Small_Intestine_Terminal_Ileum
10.64,Small_Intestine_Terminal_Ileum
15.46,Small_Intestine_Terminal_Ileum
5.493,Small_Intestine_Terminal_Ileum
11.43,Small_Intestine_Terminal_Ileum
16.8,Small_Intestine_Terminal_Ileum
15.0,Small_Intestine_Terminal_Ileum
16.68,Small_Intestine_Terminal_Ileum
11.49,Small_Intestine_Terminal_Ileum
12.94,Small_Intestine_Terminal_Ileum
15.11,Small_Intestine_Terminal_Ileum
16.43,Small_Intestine_Terminal_Ileum
11.31,Small_Intestine_Terminal_Ileum
8.66,Small_Intestine_Terminal_Ileum
20.17,Small_Intestine_Terminal_Ileum
8.319,Small_Intestine_Terminal_Ileum
10.81,Small_Intestine_Terminal_Ileum
12.16,Small_Intestine_Terminal_Ileum
12.75,Small_Intestine_Terminal_Ileum
9.681,Small_Intestine_Terminal_Ileum
8.328,Small_Intestine_Terminal_Ileum
8.952,Small_Intestine_Terminal_Ileum
10.19,Small_Intestine_Terminal_Ileum
10.07,Small_Intestine_Terminal_Ileum
6.038,Small_Intestine_Terminal_Ileum
10.04,Small_Intestine_Terminal_Ileum
10.0,Small_Intestine_Terminal_Ileum
11.5,Small_Intestine_Terminal_Ileum
11.94,Small_Intestine_Terminal_Ileum
12.16,Small_Intestine_Terminal_Ileum
20.66,Small_Intestine_Terminal_Ileum
14.26,Small_Intestine_Terminal_Ileum
14.11,Small_Intestine_Terminal_Ileum
9.377,Small_Intestine_Terminal_Ileum
10.25,Small_Intestine_Terminal_Ileum
12.61,Small_Intestine_Terminal_Ileum
10.32,Small_Intestine_Terminal_Ileum
9.954,Small_Intestine_Terminal_Ileum
12.71,Small_Intestine_Terminal_Ileum
4.564,Small_Intestine_Terminal_Ileum
13.37,Small_Intestine_Terminal_Ileum
8.368,Small_Intestine_Terminal_Ileum
9.814,Small_Intestine_Terminal_Ileum
27.62,Small_Intestine_Terminal_Ileum
8.974,Small_Intestine_Terminal_Ileum
8.213,Small_Intestine_Terminal_Ileum
5.717,Small_Intestine_Terminal_Ileum
13.52,Small_Intestine_Terminal_Ileum
4.684,Small_Intestine_Terminal_Ileum
10.04,Small_Intestine_Terminal_Ileum
13.59,Small_Intestine_Terminal_Ileum
9.555,Small_Intestine_Terminal_Ileum
9.187,Small_Intestine_Terminal_Ileum
5.521,Small_Intestine_Terminal_Ileum
13.14,Small_Intestine_Terminal_Ileum
11.85,Small_Intestine_Terminal_Ileum
12.76,Small_Intestine_Terminal_Ileum
12.12,Small_Intestine_Terminal_Ileum
10.23,Small_Intestine_Terminal_Ileum
6.525,Small_Intestine_Terminal_Ileum
10.21,Small_Intestine_Terminal_Ileum
13.3,Small_Intestine_Terminal_Ileum
6.662,Small_Intestine_Terminal_Ileum
9.589,Small_Intestine_Terminal_Ileum
7.825,Small_Intestine_Terminal_Ileum
19.31,Small_Intestine_Terminal_Ileum
12.88,Small_Intestine_Terminal_Ileum
3.284,Small_Intestine_Terminal_Ileum
9.062,Small_Intestine_Terminal_Ileum
3.429,Small_Intestine_Terminal_Ileum
3.473,Small_Intestine_Terminal_Ileum
7.115,Small_Intestine_Terminal_Ileum
11.28,Small_Intestine_Terminal_Ileum
10.6,Small_Intestine_Terminal_Ileum
12.4,Small_Intestine_Terminal_Ileum
20.87,Small_Intestine_Terminal_Ileum
10.18,Small_Intestine_Terminal_Ileum
6.832,Small_Intestine_Terminal_Ileum
7.529,Small_Intestine_Terminal_Ileum
11.13,Small_Intestine_Terminal_Ileum
5.767,Small_Intestine_Terminal_Ileum
8.426,Small_Intestine_Terminal_Ileum
6.86,Small_Intestine_Terminal_Ileum
7.971,Small_Intestine_Terminal_Ileum
10.11,Small_Intestine_Terminal_Ileum
4.096,Small_Intestine_Terminal_Ileum
9.522,Small_Intestine_Terminal_Ileum
9.735,Small_Intestine_Terminal_Ileum
8.621,Small_Intestine_Terminal_Ileum
21.28,Small_Intestine_Terminal_Ileum
5.238,Small_Intestine_Terminal_Ileum
14.7,Small_Intestine_Terminal_Ileum
11.97,Small_Intestine_Terminal_Ileum
14.23,Small_Intestine_Terminal_Ileum
4.564,Small_Intestine_Terminal_Ileum
8.997,Small_Intestine_Terminal_Ileum
11.44,Small_Intestine_Terminal_Ileum
6.594,Small_Intestine_Terminal_Ileum
14.61,Skin_Not_Sun_Exposed_Suprapubic
7.242,Skin_Not_Sun_Exposed_Suprapubic
10.22,Skin_Not_Sun_Exposed_Suprapubic
4.737,Skin_Not_Sun_Exposed_Suprapubic
6.468,Skin_Not_Sun_Exposed_Suprapubic
4.172,Skin_Not_Sun_Exposed_Suprapubic
9.55,Skin_Not_Sun_Exposed_Suprapubic
8.365,Skin_Not_Sun_Exposed_Suprapubic
12.41,Skin_Not_Sun_Exposed_Suprapubic
4.76,Skin_Not_Sun_Exposed_Suprapubic
8.005,Skin_Not_Sun_Exposed_Suprapubic
7.084,Skin_Not_Sun_Exposed_Suprapubic
12.48,Skin_Not_Sun_Exposed_Suprapubic
17.01,Skin_Not_Sun_Exposed_Suprapubic
9.974,Skin_Not_Sun_Exposed_Suprapubic
9.659,Skin_Not_Sun_Exposed_Suprapubic
